,Unnamed: 0,title,company,description,location,state,salary,jobtype,skill,degree
338,340,Data Scientist,Technica Corporation,Research and analyze cutting edge algorithms and technologies with a focus on Natural Language Processing and data VISUALIZATION techniques.,"Sterling, VA +1 location",VA,,,VISUALIZATION,
342,344,Data Analyst,Facebook,"Experience manipulating large data sets in SQL or equivalent, and drawing actionable insights from data. Oversee data and metric governance for fraud, system,…","Austin, TX",TX,,,SQL,
343,345,Data Scientist,Analatom Inc.,"Demonstrate data science capabilities through understanding and application of the math, STATISTICSs and ML to build software prototypes   BACHELOR  d on…","Santa Clara, CA",CA,"$97,396 - $219,957 a year",,ML,BACHELOR
345,347,Data Engineer,Branch,Create and maintain services for data science products (includes real time data application as well as ML pipeline). Fluent in SQL and PYTHON.,Minnesota,MN,,,"ML,SQL",
346,348,Data Analyst,Major League Baseball,Proficiency in quantitative data collection and data analysis using SQL is required. Experience with data science and STATISTICSal concepts such as regression…,"New York, NY",NY,,,SQL,
349,351,Data Scientist,Eleven Fifty Academy,Building tools to automate data collection. Present information using data VISUALIZATION techniques. Correlating similar data to find actionable results.,"Indianapolis, IN",IN,,,VISUALIZATION,
356,358,Data Analyst,U.S. Bank,"Hands on experience working with large data sets, including STATISTICSal analysis, data cleansing/transformation, data VISUALIZATION and data mining.","Palo Alto, CA",CA,"$103,615 - $121,900 a year",,VISUALIZATION,
361,363,Data Scientist,Oscar Health,You use data science tools like SQL and PYTHON. You will report into a data science leader (Senior Data Scientist or above). We need your help to do so.,"New York, NY",NY,,,SQL,
372,374,Data Scientist,CORMAC,"Having data analysis background in health-related data is a plus. Design and develop a ML platform to train, manage data, evaluate, deploy models…",United States,US National,,,ML,
376,378,Data Scientist,Specific Diagnostics,The development of data-driven VISUALIZATION tools for the explorative analysis of high-dimensional data. Algorithm development for decisions and measurements…,"Mountain View, CA",CA,,,VISUALIZATION,
387,389,Data Scientist,CACI,3-7 years of experience with data science using STATISTICSal languages such as R to manipulate data and draw insights from large data sets.,"Dahlgren, VA +4 locations",VA,,,R,
400,402,Data Engineer,"PONDURANCE, LLC","Scripting languages and data science experience, PYTHON, Ruby, etc. Data science and ML experience. Familiarity with message queues, Kafka.","Indianapolis, IN",IN,,,ML,
414,416,Data Analyst,Perez Art Museum Miami,"Technical understanding of data models, data  BACHELOR   design, data mining and segmentation techniques. Knowledge of common web frameworks for data VISUALIZATION such…","Miami, FL",FL,"$70,000 - $75,000 a year",,VISUALIZATION,BACHELOR
420,422,Data Scientist,Con,Person may also be engaged to advice on related data science projects in that same domain. Data science: 4 years (Preferred). ML Nice to Have.,"Sunnyvale, CA",CA,$70 - $94 an hour,,ML,
427,429,Data Scientist,"Big Data Federation, Inc.",Develop data science infrastructure tooling such as proprietary R packages. Collaborate with researchers to provide insights in data.,"Santa Clara, CA",CA,,,R,
444,446,Data Scientist,Ampersand,The ideal candidate has extensive experience developing data intensive software as part of a data science or ML engineering group.,"New York, NY",NY,,,ML,
448,450,Data Analyst,WINFertility,Proficiency in data VISUALIZATION tools including VISUALIZATION. Build new data architecture that interfaces with WIN’s proprietary systems and with publicly…,"Greenwich, CT",CT,,,VISUALIZATION,
453,455,Data Scientist,ModivCare,Good data VISUALIZATION and communication skills. This will include preparing and delivering presentations with rich data VISUALIZATIONs and meaningful   BACHELOR  ness…,California,CA,"$78,692 - $132,728 a year",,VISUALIZATION,BACHELOR
460,462,Data Analyst,Tradesy,4-8 years experience in an analytics or data related role. Experience with SQL and large data sets (terabyte scale) is a mus t.,California,CA,,,SQL,
470,472,Data Scientist,Spotify,"You should have strong experimentation, metric & data creation, and data VISUALIZATION skills as well as possess excellent communication skills to interface…","New York, NY",NY,,,VISUALIZATION,
477,479,Data Analyst,Facebook,"Experience manipulating large data sets in SQL or equivalent, and drawing actionable insights from data. We partner closely with several cross-functional teams,…","Seattle, WA",WA,,,SQL,
479,481,Data Analyst,Bossier Parish Community College,"Perform exploratory data analysis and VISUALIZATION to get a better appreciation of the data. Minimum 3 years work experience in institutional research,…","Bossier City, LA",LA,,,VISUALIZATION,
487,489,Data Scientist,Emerson,Help to create customer-focused analytics with data scientist peers. Generates reports for decision-making using data VISUALIZATION tools.,"Sidney, OH +1 location",OH,,,VISUALIZATION,
497,500,Data Engineer,NYC Cyber Command,"Developing and maintaining our data pipeline using Apache   BACHELOR  , Java, PYTHON and other data processing technologies; Expert knowledge in both Java and PYTHON;","New York, NY",NY,,,PYTHON,BACHELOR
510,513,Data Analyst,Vanderbilt University Medical Center,"Perform and document data analysis, data validation, and data mapping/design. The VISUALIZATION   BACHELOR  ness Intelligence Analyst at the Data and Research Center for the…","Nashville, TN",TN,,,VISUALIZATION,BACHELOR
513,516,Data Analyst,"Stifel, Nicolaus & Co., Inc.",Experience with data VISUALIZATION software & VISUALIZATION generation. Experience with data VISUALIZATION software & VISUALIZATION generation – VISUALIZATION experience…,"Bethesda, MD",MD,,,VISUALIZATION,
525,528,Data Scientist,Mission Lane,To use distributed computing systems like SPARK and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",VA,,,SPARK,
530,533,Data Scientist,Mission Lane,"A low-ego, respectful, data science team committed to solving practical problems together. To use distributed computing systems like SPARK and Snowflake to…","Richmond, VA",VA,,,SPARK,
531,534,Data Scientist,,"
            Work-from-home opportunity with occasional travel. Will develop ML models, run <b>data</b> <  BACHELOR  ience</b> experiments, mentor junior team members, and develop and review system architecture. Need a   BACHELOR  's degree and seven years of experience.
        ",US National,US National,,Partial Remote Job,ML,BACHELOR
546,549,Data Scientist,,"
            Remote role for a <b>data</b> scientist research and development. Will create pipelines and infrastructure to productionize ML systems, develop solutions, enhance marketing capabilities, provide insights and progress reports. Need extensive exp.
        ",US National,US National,,100% Remote Job,ML,
548,551,Data Scientist,,"
            Will be developing models, creating VISUALIZATION products, building a pipeline of <b>data</b> <  BACHELOR  ience</b> projects, &amp; collaborating on project deliverables. Must have at least a   BACHELOR  's degree &amp; <b>data</b> <  BACHELOR  ience</b> exp. in a commercial setting. Can work remotely.
        ","Chicago, IL, Philadelphia, PA","PA,IL",,Option for Remote Job,VISUALIZATION,BACHELOR
553,556,Data Scientist,,"
            A remote position is available for a <b>data</b> scientist who has ML expertise in the auto industry or a related field. Must have a <b>data</b> <  BACHELOR  ience</b> background, a decade of programming exp. with STATISTICSal software, and at least a MASTER  degree.
        ","Nashville, TN",TN,,100% Remote Job,ML,"BACHELOR,MASTER"
556,559,Data Scientist,,"
            Help the company's efforts in both   BACHELOR  ness-facing <b>data</b> <  BACHELOR  ience</b> and ML engineering. Must have a MASTER  degree and experience with classification and regression techniques. Full-time, remote position.
        ",US National,US National,,100% Remote Job,ML,"BACHELOR,MASTER"
559,562,Data Scientist,,"
            Remote role. Build &amp; maintain ML products, maintain <b>data</b> pathways, test algorithms and provide reports to stakeholders, and create performance metrics for instruments. Requires  BACHELOR  &amp; 4 years' <b>data</b> <  BACHELOR  ience</b> experience, plus PYTHON proficiency.
        ","San Jose, CA, Hillsboro, OR, Asheville, NC, ME, NH, MA, RI, CT, NY, NJ, DE, MD, VA, NC, SC, GA, FL","CA,NC,MA,NJ,GA,NY,OR,SC,CT,DE,FL,NH,VA,ME,MD,RI",,100% Remote Job,"PYTHON,ML",BACHELOR
563,566,Data Scientist,,"
            Senior <b>data</b> scientist will use ML and <b>data</b> mining techniques to develop automated processes and solutions. Experience with PYTHON and SQL is desired. Knowledge of fraud,  spam and payments is a plus. Remote work options.
        ","Nashville, TN",TN,,Option for Remote Job,"PYTHON,ML,SQL",
565,568,Data Scientist,,"
            Option for telecommuting. Candidate will develop and optimize classifiers using ML techniques, perform <b>data</b> mining, and help enhance <b>data</b> collection procedures. Must have familiarity with <b>data</b> pipeline stack of airflow.
        ","San Francisco, CA",CA,,Option for Remote Job,ML,
569,572,Data Scientist,,"
            The <b>data</b> scientist will analyze <b>data</b>, build models, provide predictions, &amp; complete complex projects. Requires R or PYTHON skills &amp; a background in supervised &amp; unsupervised model creation. A relevant   BACHELOR  's degree is required. Remote position.
        ",US National,US National,,100% Remote Job,"PYTHON,R",BACHELOR
572,575,Data Engineer,,"
            Create <b>data</b> tools and maintain VISUALIZATION and complex <b>data</b> sets, provide ad-hoc analysis and identify security issues, and communicate with clients about project needs. Remote work option. Requires BA, 3 years' IT experience, and PYTHON proficiency.
        ","Richmond, VA",VA,,Option for Remote Job,"VISUALIZATION,PYTHON",
575,578,Data Scientist,,"
            Join customer experience practice. Aptitude and creativity are valued. Will use ML related techniques to develop scalable solutions. Extract key insights.   PHD   in area of computer <  BACHELOR  ience</b> req. This is a full-time contract. Telecommute.
        ","Gold River, CA",CA,,100% Remote Job,ML,"PHD,BACHELOR"
577,580,Data Scientist,,"
            The <b>data</b> scientist will focus on developing ML <b>data</b> products and solutions. This position is remote. Those candidates who possess a   BACHELOR  's degree in a quantitative major will need at least two years' related work experience.
        ","Birmingham, AL, Fort Lauderdale, FL, Plano, TX, Detroit, MI, Conway, AR, Little Rock, AR, New York, NY","NY,AR,TX,FL,AL,MI",,100% Remote Job,ML,BACHELOR
580,583,Data Scientist,,"
            Full-time remoter role. He/she will develop <b>data</b> process and strategy, maintain analytical processes and procedures, apply <b>data</b> mining techniques, and perform STATISTICSal analyses. MASTER  degree and experience with <b>data</b> VISUALIZATION tools required.
        ","Pittsburgh, PA, United Kingdom, Sweden, Norway, Finland, Poland, Denmark, Netherlands, Dallas, TX, Houston, TX, Phoenix, AZ, Portland, OR, Los Angeles, CA, Miami, FL, New York, NY, Boston, MA, Minneapolis, MN, Washington, DC, Jacksonville, FL, Cleveland, OH","CA,PA,MA,NY,MN,OH,OR,DC,TX,FL,AZ",,100% Remote Job,VISUALIZATION,MASTER
581,584,Data Engineer,,"
<b>Data</b> Engineer is needed for a remote role. He/She will build a new streaming <b>data</b> infrastructure to feed ML and analytics. Must be able to create and maintain li  BACHELOR  ies. Prior relevant experience is required.
        ",US National,US National,,Option for Remote Job,ML,BACHELOR
584,587,Data Scientist,,"
            Telecommute role analyzing <b>data</b> to make product improvements and support marketing and   BACHELOR  ness goals. Design STATISTICSal and ML models and <b>data</b> warehouse systems. Must have 4 years of <b>data</b> <  BACHELOR  ience</b> experience and a  BACHELOR  in a quantitative field of study.
        ","CA, OR, WA, NV, AZ, TN, ME","CA,TN,WA,NV,OR,ME,AZ",,100% Remote Job,ML,BACHELOR
586,589,Data Analyst,,"
            Seeking a <b>data</b> analyst for a full-time, remote position responsible for coordinating and analyzing <b>data</b>, generating reports, building VISUALIZATIONs, fulfilling requests, and analyzing <b>data</b>. PYTHON experience, SQL proficiency required.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",
587,590,Data Engineer,,"
            F/T remote option senior <b>data</b> engineer needed for continuous improvement of every step of our <b>data</b> processing pipeline. 4+ years of experience building workflow solutions for near real-time reporting, <b>data</b> <  BACHELOR  ience</b>, and ML required.
        ","Brooklyn, NY",NY,,Option for Remote Job,ML,BACHELOR
589,592,Data Scientist,,"
            Candidate will organize, and analyze <b>data</b> from various sources, scope messy <b>data</b> for tractable insights, and identify candidate STATISTICSal or ML solutions. Five years' relevant industry work exp. and   PHD   req. Remote job during pandemic.
        ","Glendale, CA",CA,,Remote - During Pandemic Job,ML,PHD
591,594,Data Engineer,,"
            ML engineer needed to architect and develop systems that include <b>data</b> ingestion, <b>data</b> processing, algorithm development and ML model development. Related BA/BS degree and PYTHON and Amazon AWS or DevOps automation exp. req. Remote role.
        ","New York, NY, MI, IN, KY, TN, GA, FL, OH, NC, SC, WV, VA, PA, DC, CT, NJ, NY, RI, NH, ME, MD, DE, VT","TN,GA,NY,OH,WV,DE,FL,VA,ME,IN,NJ,SC,CT,KY,NH,MD,RI,NC,PA,MI,DC,VT",,100% Remote Job,"PYTHON,ML",
603,606,Data Scientist,,"
            The sr. <b>data</b> scientist will support health initiatives, analyze large datasets, develop algorithm models, use ML techniques to research solutions, &amp; refine insights. Six or more years' experience in <b>data</b> <  BACHELOR  ience</b> is required. This is a remote opportunity.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
605,608,Data Scientist,,"
            Identify ways to apply ML techniques, and partner with   BACHELOR  ness stakeholders and engineers to design, develop and deploy ML/AI products to drive   BACHELOR  ness results. Must have 3+ years of <b>data</b> <  BACHELOR  ience</b> experience. Remote opportunity.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
610,613,Data Engineer,,"
<b>Data</b> engineer needed for a full-time, remote option position requiring exceptional communication skills, SQL proficiency, familiarity with Sqoop, Hive, Impala, HADOOP. Will monitor and ensure <b>data</b> quality, develop tools, ensure customer satisfaction.
        ","AZ, CA, Washington, DC, FL, MO, NJ, NY, OH, OR, TX, WA","CA,NJ,WA,NY,OH,DC,OR,MO,TX,FL,AZ",,Option for Remote Job,SQL,
616,619,Data Engineer,,"
            Build automated ETL solutions and automated <b>data</b> pipelines across the organization via the translation of functional requirements. 3 - 5 years of cloud-  BACHELOR  d automated <b>data</b> pipelines, PYTHON and SQL experience is required. Remote option.
        ","McMinnville, OR",OR,,Option for Remote Job,"PYTHON,SQL",BACHELOR
617,620,Data Scientist,,"
            Telecommute position conducting analysis, building frameworks, and creating solutions within the <b>data</b> <  BACHELOR  ience</b> infrastructure. Must have at least 4 years of quantitative experience with strong PYTHON and SQL abilities. Requires design and deployment exp.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",BACHELOR
620,623,Data Scientist,,"
            Full-time partial remote role. He/she will develop novel ML models, manage ML projects, mentor junior staff, and extract clinical insight from <b>data</b>. MASTER  or   PHD   degree preferred. 6+ years' <b>data</b> <  BACHELOR  ience</b> experience required.
        ",US National,US National,,Partial Remote Job,ML,"PHD,BACHELOR,MASTER"
621,624,Data Scientist,,"
            Full-time position. Flexible schedule. Will document large <b>data</b> sets, validate performance, present processes and develop ML solutions. MASTER  degree and related experience required. Remote during pandemic.
        ","San Diego, CA",CA,,Remote - During Pandemic Job,ML,MASTER
622,625,Data Analyst,,"
            Seeking a <b>data</b> analyst for a remote position requiring experience with <b>data</b> integration, various data  BACHELOR  s including Access, Oracle, SQL Server, and DB2, and BI/Reporting Tools. Will build models, conduct tests, coordinate and analyze <b>data</b>.
        ",US National,US National,,100% Remote Job,SQL,BACHELOR
628,631,Data Engineer,,"
            Candidate will build scalable <b>data</b> pipelines and API integrations, build the infrastructure required for optimal extraction and transformation, and evaluate and integrate open source and vendor tools. PYTHON and Google BigQuery exp. req. Optional WFH job.
        ","New York City, NY",NY,,Option for Remote Job,PYTHON,
631,634,Data Scientist,,"
            Optional remote job for candidate who will develop and demonstrate solutions   BACHELOR  d on groundbreaking <b>data</b> <  BACHELOR  ience</b> software, build collateral applied to consumer Internet use-cases and help build ML solutions. Five years' software engineer exp. req.
        ","Santa Clara, CA, GA, TX, CO, IL, WA, CA, AZ","CA,GA,CO,WA,IL,TX,AZ",,Option for Remote Job,ML,BACHELOR
642,645,Data Scientist,,"
            Remote position. Analyze <b>data</b> and build machine earning systems to optimize workflows, ensure applications run efficiently, and write and review code across teams. Requires MA, SQL and PYTHON proficiency, and understanding of STATISTICSs.
        ",US National,US National,,100% Remote Job,"PYTHON,SQL",
647,650,Data Scientist,,"
            Apply ML to solve real-world   BACHELOR  ness problems using modern programming languages. Must have 8 years' relevant experience within government consulting and organizing analytic results. WFH to start.
        ","Falls Church, VA",VA,,Remote - During Pandemic Job,ML,BACHELOR
648,651,Data Scientist,,"
            Remote role for a principal <b>data</b> scientist. Will build/validate predictive models, create <b>data</b>-driven solutions, lead <b>data</b> analysis/mining, write PYTHON code, present <b>data</b> results, and help generate/test hypotheses. Need a   PHD  . and 10 years of exp.
        ",US National,US National,,100% Remote Job,PYTHON,PHD
654,657,Data Scientist,,"
            Work remotely from home and collaborate with the analytics team to establish reporting processes, and collaborate with the <b>data</b> &amp; ML team to define <b>data</b> standards and organization. Requires 4+ years of relevant work experience.
        ",US National,US National,,100% Remote Job,ML,
657,660,Data Scientist,,"
            Remote job for candidate who will explore the company's <b>data</b> to identify product development opportunities, help turn models into production software, and design ML solutions. Four years' <b>data</b> <  BACHELOR  ience</b> exp. req. MASTER  degree preferred.
        ",US National,US National,,100% Remote Job,ML,"BACHELOR,MASTER"
675,678,Data Scientist,,"
            F/T remote senior <b>data</b> scientist needed to help build AI and ML (ML) capabilities that pinpoint regulatory misconduct at financial services organizations. 3+5 years of professional <b>data</b> <  BACHELOR  ience</b> experience &amp; ML techniques/algorithms exp req.
        ",US National,US National,,100% Remote Job,ML,BACHELOR
682,685,Data Scientist,,"
            Seeking candidate with related MASTER  degree or   PHD   and <b>data</b> scientist experience to help extract insights and unlock value from customer <b>data</b> through the rigorous application of STATISTICSal and ML methods. Remote job during pandemic.
        ","San Francisco, CA",CA,,Remote - During Pandemic Job,ML,"PHD,MASTER"
687,690,Data Scientist,,"
            Seeking candidate with   PHD    MASTER 's degree and proven <b>data</b> scientist experience to help extract insights and unlock value from customer <b>data</b> through the rigorous application of STATISTICSal and ML methods. Remote job during pandemic.
        ","Boston, MA",MA,,Remote - During Pandemic Job,ML,"PHD,MASTER"
693,696,Data Engineer,,"
            Remote position. Support <b>data</b> projects and development of platform, scale products and define technical direction, recommend improvements, and debug issues as needed. Requires BA, knowledge of PYTHON and AWS, plus understanding of <b>data</b> architecture.
        ",US National,US National,,Option for Remote Job,PYTHON,
