,title,company,description,location,state,salary,jobtype,skill,degree
36,Data Scientist,"Denali System Co., Ltd","Data science: 3 years (Preferred). Proven Experience in working with large scale data systems. Formulating, suggesting, and managing data-driven projects which…","Mountain View, CA",CA,,,,
37,Data Analyst,Tampa Bay Rays,Our R&D group helps shape the   BACHELOR  ball Operations decision-making processes through the analysis and interpretation of data. Experience with R or PYTHON.,"Saint Petersburg, FL",FL,,,R,BACHELOR
38,Data Analyst,National Independent Statistical Service,This individual corresponds with company contacts when problems are identified and assists in resolving data questions.,"Indianapolis, IN",IN,,,,
39,Data Scientist,United Solutions LLC,Strong experience in manipulating data and drawing insights from large data sets. Experience working with and creating data architectures.,"Rockville, MD",MD,"$50,000 - $120,000 a year",,,
40,Data Scientist,Atlas Executive Consulting,Minimum four (4) years of experience developing data analytics or data science solutions. Ability to manipulate data from multiple structured and unstructured…,"North Charleston, SC",SC,"$70,000 - $85,000 a year",,,
41,Data Scientist,TARGET PHARMASOLUTIONS,Aggregate and organize data from disparate sources in support of data analysis. Knowledge of healthcare/clinical data desired.,"Durham, NC",NC,,,,
42,Data Analyst,Orlando City SC,"Degree in computer science, math, data science or related field or a combination of education and 1-2 years experience in STATISTICSal analysis and report…","Orlando, FL",FL,,,,
43,Data Scientist,Tripoint Solutions,Conduct data analysis tasks in conjunction with client data SMEs. This position requires the applicant to parse disparate data sources to find the patterns and…,"Alexandria, VA +1 location",VA,"$90,000 - $95,000 a year",,,
44,Data Engineer,CreditXpert,"Closely collaborate with operations and data science to create scalable solutions for product problems. Manage data and meta-data, structuring it properly via…","Baltimore, MD",MD,"$96,980 - $153,326 a year",,,
45,Data Analyst,"Redaptive, Inc.",The Quantitative Data Analyst at Redaptive leverages any and all available data to answer Redaptive’s critical questions.,United States,US National,,,,
46,Data Scientist,Numerdox,"You will be performing thorough testing and validation of models, and support various aspects of the   BACHELOR  ness with data analytics.","Sacramento, CA",CA,,,,BACHELOR
47,Data Scientist,Titan America,"Experience with common data science toolkits, such as R, PYTHON. Extending company’s data with third party sources of information when needed.","Roanoke, VA",VA,,,,
48,Data Scientist,The General Insurance,"As an Associate Data Scientist, you will be involved first hand with actual data science projects and writing code that matters.","Nashville, TN",TN,,,,
49,Data Analyst,General Motors,Our Data Analytics team supports operational improvement and   BACHELOR  ness decision-making through ad-hoc STATISTICSal analysis of curated enterprise data and self…,Michigan,MI,,,,BACHELOR
50,Data Scientist,Utility Associates,Identify valuable data sources and automate the collection of data. Our plan is to build a data science team that will help us gain valuable insights from…,"Decatur, GA",GA,"$110,000 - $135,000 a year",,,
51,Data Scientist,Doorstead,Extending company's data with third party sources of information when needed. Enhancing data collection procedures to include information that is relevant for…,"San Francisco, CA",CA,,,,
52,Data Scientist,IBM,Determine the appropriate data collections methods   BACHELOR  d on the unique data structure and elements. The role will involve working with the CIO Data Lake and…,"Research Triangle Park, NC",NC,,,,BACHELOR
53,Data Scientist,Starbucks,"Understands how to break down the data, extract insights, and determine utility within larger data analytic products.","Seattle, WA",WA,,,,
54,Data Analyst,Trend Health Partners,Interpret and analyze data to accurately assess and demonstrate key insights into trends and opportunities. Trend Health Partners is currently seeking analysts…,"Hunt Valley, MD",MD,"$50,000 - $60,000 a year",,,
55,Data Analyst,SymphonyRM,Experience using dbt to transform data. Transform and model data using dbt and LookML. Visualize data to communicate findings using platforms such as Excel or…,Pennsylvania,PA,,,,
56,Data Analyst,The New York Times,Democratize data and insights through skillful data structuring and use of VISUALIZATION tools. Collaborate with data science and tech to bring to life new…,"New York, NY",NY,,,VISUALIZATION,
57,Data Analyst,"Metron, Inc.",Conduct data collection and specification reviews. Perform post-processing data analysis and interpretation. Participate in customer meetings and briefings.,"Hanahan, SC +1 location",SC,,,,
58,Data Analyst,Homeless Services Network of Central Florida,Disseminate data regarding data quality and system performance measures. Assists in monitoring and providing regular updates to the organization’s management…,"Orlando, FL",FL,"$45,000 - $53,000 a year",,,
59,Data Engineer,Ascendum,"Knowledge in three of the following technical disciplines: data warehousing, big data management, analytics development, data science, application programming…","Cincinnati, OH",OH,,,,
60,Data Analyst,Optimal Solutions Group,Self-motivation and interest in data-driven public policy analysis a must. The Research Analyst(s) would assist senior researchers in a variety of research and…,"College Park, MD",MD,,,,
61,Data Scientist,Recovery Centers of America,"Strong knowledge of Data Science, Data structures, data modelling and software architecture. Reporting to the CTO, the ideal candidate will have great problem…","King of Prussia, PA",PA,,,,
62,Data Scientist,"Pharma Resource Group, Inc.",Support the safety science eﬀort to build applications and tools by applying advanced scientific algorithms and methods and translating the strategic vision of…,"Fort Washington, PA",PA,,,,
63,Data Scientist,Optimal Solutions Group,"Assist Data Scientists in developing data products that contain dynamic data VISUALIZATIONs to present findings, data explorers that allow users to explore and…","College Park, MD",MD,,,,
64,Data Scientist,Brilliant Infotech,"Solid experience performing data science from data discovery, cleaning, model selection, validation, and deployment; experience coding artificial intelligence…","Ewing, NJ",NJ,"$111,000 - $122,000 a year",,,
65,Data Analyst,"Decision Information Resources, Inc","Master’s degree with coursework in data analysis or data science. Additionally, the ability to set up a platform for data VISUALIZATION is preferred.","Washington, DC",DC,"$65,000 - $80,000 a year",,VISUALIZATION,
66,Data Analyst,"Naval Systems, Inc.",Write tools to assist in mining data from various Navy and DoD data sources. Assist in the assessment and accuracy of new data sources and data gathering…,"Lexington Park, MD",MD,,,,
67,Data Scientist,Franklin IQ,Gathering data via advanced computerized models. Developing and revising existing data models. Extracting patterns of data through high-level algorithms.,"Arlington, VA",VA,$50 - $70 an hour,,,
68,Data Scientist,KBR,"Engineering Support: Participates with engineering in the design, development, and utilization of scientific/engineering electronic data processing systems…","Lexington Park, MD",MD,,,,
69,Data Scientist,EpochGeo,"Our developers, analysts, and data scientists have a proven track record applying open-source innovative technology, data science, and actionable analytics to…","Washington, DC +2 locations",DC,"$100,000 - $200,000 a year",,,
70,Data Analyst,Blizzard Entertainment,"Demonstrated experience with some or all of the following: data modeling, data VISUALIZATION, STATISTICSs, experimental design, predictive modeling.","Irvine, CA",CA,,,,
71,Data Analyst,Elutions,Perform STATISTICSal data analysis and STATISTICSal modelling with high quality data handling techniques. Incorporate process of continuous improvements into day…,"Tampa, FL",FL,,,,
72,Data Analyst,BSquared Consulting,8+ years of total data analyst experience required. O  BACHELOR  n data through advanced computerized models; extrapolate data patterns through advanced algorithms;…,"Washington, DC",DC,"$100,000 - $108,000 a year",,,BACHELOR
73,Data Analyst,Venga Global,This will help our team gather enough data to teach computers to identify the same traits. Additional special projects may be assigned if time allows.,North Carolina,NC,$15 an hour,,,
74,Data Scientist,EchoStar,Develop custom ML data models and algorithms to apply to data sets. Assess the effectiveness and accuracy of new data sources and data gathering techniques.,"Germantown, MD",MD,,,ML,
75,Data Analyst,Driveway Home Office,"1-3 years of experience in data analysis with emphasis on data and analytics. Developing and implementing data analyses, data collection systems and other…",North Carolina,NC,,,,
76,Data Analyst,Metropolitan Atlanta Rapid Transit Authority (MARTA),"Responsible for   BACHELOR  ness analytics work through all phases, including data quality, automation, data analysis, data VISUALIZATION, and presentation of results.","Atlanta, GA",GA,"$60,000 - $90,000 a year",,,BACHELOR
77,Data Analyst,The Voter Participation Center / Center for Voter Information,"Previous experience in political data. Previous experience crafting narratives from unstructured data. Collect, clean, and process data sets.","Washington, DC",DC,"$65,000 - $75,000 a year",,,
78,Data Analyst,Florida Blue,"Intermediate Excel skills Desire to continue to improve computational, STATISTICSal, behavioral and data science skills. Knowledge of R is a plus.",United States,US National,,,R,
79,Data Scientist,Walmart,"  BACHELOR  's degree in data science, applied mathematics, computer science or otherwise research-  BACHELOR  d field; Master’s degree required.","Dallas, TX +2 locations",TX,,,,BACHELOR
80,Data Scientist,"Interos, Inc.",Developing custom data models and algorithms to apply to data sets. Assessing the effectiveness and accuracy of new data sources and data gathering techniques.,Virginia,VA,,,,
81,Data Analyst,Passion,"Degree in computer science, data science, or equivalent education and experience preferred. Assists with providing data driven solutions.","Atlanta, GA",GA,,,,
82,Data Analyst,Instacart,Investigate and solve complex data issues such as data bugs that impact critical metrics. Deploy data quality checks and ensure high quality of VISUALIZATIONs and…,"San Francisco, CA",CA,,,,
83,Data Engineer,PagerDuty,"Demonstrated experience with data modeling, data  BACHELOR   design, extract transform load (ETL) processes, working with unstructured data, and cloud-  BACHELOR  d data…",California,CA,,,,BACHELOR
84,Data Scientist,Innovyt,"In this role, you will work on some of the latest applications of data science to   BACHELOR  ness. We are looking for candidates with minimum of 3-5 years of…","San Jose, CA +1 location",CA,"$110,000 - $150,000 a year",,,BACHELOR
85,Data Scientist,Geospark Analytics,"We are a small team where you will have autonomy to create, train, test, develop, and deploy new models on a regular   BACHELOR  s.",United States,US National,,,,BACHELOR
86,Data Analyst,Applecart,"Interest in or passion for politics, the legislative process, technology, data analytics, and data science. Partner with other data analysts to build predictive…","New York, NY",NY,,,,
87,Data Analyst,MMIT,"Experience analyzing large healthcare data sets, such as claims and formulary coverage data, and synthesize patterns into actionable feedback to Product and…","Yardley, PA",PA,,,,
88,Data Engineer,Bloom Insurance,Knowledge of data science technologies is a plus. Able to generate ad hoc data on demand. Design data models and develop data  BACHELOR   structures in Microsoft SQL…,"Bloomington, IN",IN,,,,BACHELOR
89,Data Analyst,Eleanor Health,"Be the data expert supporting cross-functional teams, gathering data from various sources, and building automated reporting to democratize data across the…",Massachusetts,MA,,,,
90,Data Scientist,FocusKPI Inc.,"Ability to communicate and explain data science concepts to diverse audiences, craft a compelling story. Fluency in data and scripting languages (SQL, PYTHON…","Mountain View, CA",CA,,,,
91,Data Analyst,"Majestic Steel USA, Inc.","Design, build and validate data models in BI platform. Work with DBA’s to construct architectural data solutions. Skilled in SQL and relational data  BACHELOR  s.","Pepper Pike, OH",OH,,,SQL,BACHELOR
92,Data Analyst,University of Washington,"Bring together data, analytic engines, and data VISUALIZATIONs in one seaMLess computational process. Create and document efficient, effective, and replicable…","Seattle, WA",WA,,,,
93,Data Scientist,Gap Inc.,Navigate various data sources and efficiently locate data in a complex data ecosystem. This position will be part of the Data Science Engineering team at Gap…,United States,US National,,,,
94,Data Analyst,Launch Potato,This is your opportunity to tell us what you're looking for. If we open a role that is a fit we will reach out. Apply today if you truly believe in our core…,"Delray Beach, FL",FL,,,,
95,Data Analyst,AllianceBernstein,Computer Sciences degree with data analysis/data science concentration. Review/QC data to ensure accuracy of attribution reports.,"Nashville, TN",TN,,,,
96,Data Analyst,Abt Associates,Ability to run queries and correlate data. Abt Associates seeks a qualified SOC Analyst to support the Data Science and Survey and Enabling Technologies…,"Alexandria, VA",VA,,,,
97,Data Analyst,Infectious Disease Connect,Identify data sources needed to produce required data sets or reports and extract appropriate subsets of data. Proficient in SQL and custom queries.,"Cranberry Township, PA",PA,"$75,000 - $100,000 a year",,SQL,
98,Data Scientist,Maxisit,"Knowledge and experience in STATISTICSal and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.","Duluth, GA",GA,,,,
99,Data Engineer,Braintrust,"Experience working with event data in a data lake. A self-service tool that allows data scientists, data engineers, and ML engineers on the Marketing Data…","San Francisco, CA",CA,$100 - $120 an hour,,ML,
100,Data Analyst,TheGuarantors,Experience with data science or ML a plus. Design and develop data VISUALIZATION and VISUALIZATIONs to increase access to data within the organization…,"New York, NY",NY,,,"VISUALIZATION,ML",
101,Data Scientist,Biz2Credit Inc,"Work on data projects and proposals involving Biz2Credit’s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others)…","New York, NY",NY,"$60,000 - $65,000 a year",,,
102,Data Analyst,"Honda R&D Americas, Inc.","Translate   BACHELOR  ness inquiries and challenges into data-driven solutions with the support of data engineers, scientists, and IT (defining scope & requirements).","Marysville, OH",OH,,,,BACHELOR
103,Data Scientist,Radius Global Solutions LLC,Becomes expert in data warehouse and company data sources. 2+ years analyzing data and creating reports.   BACHELOR  ’s degree with a data/ technical emphasis.,"Ambler, PA +2 locations",PA,"$80,000 - $100,000 a year",,,BACHELOR
104,Data Analyst,Wellstone Technologies,"Expert experience with data pipelines, data tools, and data organization for analytics. Lead the data strategy, including data storage, data modeling, data…","Bethesda, MD",MD,"$150,000 - $191,000 a year",,,
105,Data Analyst,CloudPareto,Handling large data sets and relational data  BACHELOR  s. Designing and maintaining data schemas and data  BACHELOR  s. Visualizing and presenting data to stakeholders using…,"Arlington, VA",VA,"$80,000 - $110,000 a year",,,BACHELOR
106,Data Scientist,Sprezzatura Management Consulting,Identifies and integrates external data sets with internal data elements for analysis to understand underlying patterns and trends.,"Washington, DC",DC,,,,
107,Data Scientist,FedEx Services,Experience designing data science solutions whithin a large enterprise solution architecture. Demonstrated experience developing and leading the implementation…,Tennessee +2 locations,TN,"$9,026 - $14,745 a month",,,
108,Data Analyst,University of South Florida,"Master's degree in information technology, computer science, information systems or equivalent field and two years of demonstrated experience with analysis,…","Tampa, FL",FL,"$60,000 a year",,,
109,Data Scientist,Eccalon,Expertise in communicating complex data insights for those without a data background. The Data Scientist will engage with senior leaders to identify questions…,"Arlington, VA",VA,,,,
110,Data Scientist,The Farmer's Dog,You will   BACHELOR  nstorm with our small team of data scientists on modeling and solutions to our problems. Leverage our myriad data sources to help friction points…,"New York, NY",NY,,,,BACHELOR
111,Data Analyst,"Converseon, Inc.","Some technical/data science skills/VISUALIZATION etc. are helpful. Experience with social listening data helpful. Heavy digital analytics experience, which can range…","New York, NY",NY,,,,
112,Data Scientist,Scientific Systems and Software International Corporation,"Identifying data needs and proper methods for data gathering, integration, preparation, data quality and data governance. Minimum of 7 years of experience with:","Baltimore, MD",MD,"$55,000 - $70,000 a year",,,
113,Data Scientist,Ascent Powered by Sober Grid,The person will have a strong analytical and data science background. We develop products and services with a team of outstanding Research and Development…,"Cleveland, OH",OH,,,,
114,Data Scientist,Carta,You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality.,"New York, NY +1 location",NY,,,,
115,Data Analyst,Virginia Dept of Behavioral Health & Developmental Sv,"Master’s degree in social science field with emphasis on quantitative and qualitative research and analysis  MASTER ’s degree in information technology,…","Richmond, VA",VA,"$60,000 - $80,000 a year",,,MASTER
116,Data Analyst,Malk Partners,"Assist in training employees on data privacy and security topics. Create, maintain, and enforce internal data privacy and security policies.","New York, NY",NY,"$35,622 - $123,824 a year",,,
117,Data Analyst,Delta,"This position will use analytics and data to see around the corner of emerging pockets of demand, growth opportunities, and competitive shifts in support of…","Atlanta, GA",GA,,,,
118,Data Analyst,International Baccalaureate,Relevant experience in data analysis or data science projects with quick understanding of new technologies. Experience optimizing queries with large data sets…,"Bethesda, MD",MD,"$65,000 - $80,000 a year",,,
119,Data Scientist,Winwire Technologies,"Top 5 Must Haves: predictive modeling experience, good coding skills (PYTHON, SAS, or SQL),. Minimum education requirement: MASTER  degree in quantitative…","Irvine, CA",CA,"$120,000 - $130,000 a year",,,MASTER
120,Data Scientist,"Knowesis, Inc.",Enter and analyze data within government systems. Experience using STATISTICSs and data VISUALIZATION techniques to provide an accessible way to see and…,"Fort Bragg, NC +1 location",NC,,,VISUALIZATION,
121,Data Scientist,Allstate,Can analyze data and review analysis from others and identify and resolve   BACHELOR  c data issues. Standard knowledge in the use of data sources and applications to…,"Northbrook, IL",IL,"$113,600 a year",,,BACHELOR
122,Data Analyst,Zillow,Be a strong partner with data engineering teams on the data ecosystem and an advocate for the requirements of data scientists and data VISUALIZATION engineers.,"Seattle, WA",WA,,,VISUALIZATION,
123,Data Scientist,Data Patterns,Experience using   BACHELOR  ness intelligence tools (e.g. VISUALIZATION) and data frameworks (e.g. HADOOP). Proven experience as a Data Scientist or Data Analyst.,"Dallas, TX",TX,"$62,318 - $146,449 a year",,,BACHELOR
124,Data Analyst,"ShareThis, Inc","Interest in learning applied data science over unstructured data with ML, NLP using SPARK, Scala and other cloud native tools.","Palo Alto, CA",CA,,,,
125,Data Scientist,Source Enterprises,"Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc. Stay current on modern trends and advances in data mining technology.","New York, NY",NY,,,,
126,Data Scientist,Analytica,"Research science experience a plus (not required). Ability to work with various data types independently, as well as with a team.","Washington, DC",DC,,,,
127,Data Scientist,Indeed,"Deploy data science solutions: Java, PYTHON, C++. 5+ years of recent professional industry experience in data science/software engineering.","Denver, CO +3 locations",CO,"$157,000 - $191,000 a year",,,
128,Data Scientist,Occam Solutions,"As well as to integrate as part of a team that will provide advanced analytical knowledge of data on the data science team, with a focus on conducting big data…","Fort Bragg, NC",NC,,,,
129,Data Scientist,Microsoft,Interpret results of data experiments and derive meaningful actions and prioritization of opportunities. Be self-driven and show ability to deliver on ambiguous…,"Redmond, WA +3 locations",WA,,,,
130,Data Scientist,OpenTable,Deep understanding of data structures and OO design. Our team is looking for someone passionate about ML with a strong background in Software…,"Los Angeles, CA +1 location",CA,,,ML,
131,Data Analyst,Curaleaf,"Experience: At least five years hands-on experience in analytics, data science, or management consulting with a proven track record as a data analyst in…","Miami, FL",FL,,,,
132,Data Analyst,Gift of Life Donor Program,"Clean and prepare data from primary and secondary sources, integrate data from multiple disparate data sources into clinical reporting data  BACHELOR  .","Philadelphia, PA",PA,,,,BACHELOR
133,Data Analyst,HotSchedules,"Experience in data mining, analysis, STATISTICSs and/or data manipulation is a plus. Test   BACHELOR  ness hypotheses using the data.","Sofia, NM",NM,,,,BACHELOR
134,Data Scientist,Fandom,6+ years of experience in data science or related.   BACHELOR    MASTER  in the field of data science or related. Deep knowledge of data VISUALIZATION.,California,CA,,,,"BACHELOR,MASTER"
